row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_actuator_disk_source_map_source_inventory,l2_actuator_disk_source_map,source_description,"Aerodynamics4McL2ActuatorDiskSourceMap maps hover actuator-disk pressure jumps into per-rotor force and moment targets.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,l2_actuator_disk_source_map_inventory,Reference surface for the A4MC L2 actuator disk source-map packet.
a4mc_l2_actuator_disk_source_map_source_inventory,l2_actuator_disk_load,source_description,"Aerodynamics4McL2ActuatorDiskCalibration supplies the momentum-theory pressure jump and induced-velocity basis used by this source map.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,l2_actuator_disk_source_map_inventory,Reference surface for the A4MC L2 actuator disk source-map packet.
a4mc_l2_actuator_disk_source_map_source_inventory,l2_rotor_disk_aperture,source_description,"Aerodynamics4McL2RotorDiskAperture supplies rotor disk axes open area and static-mask coverage for each source term.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,l2_actuator_disk_source_map_inventory,Reference surface for the A4MC L2 actuator disk source-map packet.
a4mc_l2_actuator_disk_source_map_source_inventory,l2_drone_probe,source_description,"Aerodynamics4McL2DroneProbe supplies the bounded wind-tunnel geometry and static airframe mask used before powered source terms are fitted.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_actuator_disk_source_map_inventory,Reference surface for the A4MC L2 actuator disk source-map packet.
a4mc_l2_actuator_disk_source_map_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for future powered source-term force and moment validation.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_actuator_disk_source_map_inventory,Reference surface for the A4MC L2 actuator disk source-map packet.
a4mc_l2_actuator_disk_source_map_preset,racingQuad,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,current_l2_actuator_disk_source_map,Current hover source-map force and moment target before live A4MC powered-source fitting.
a4mc_l2_actuator_disk_source_map_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,current_l2_actuator_disk_source_map,Current hover source-map force and moment target before live A4MC powered-source fitting.
a4mc_l2_actuator_disk_source_map_preset,racingQuad,source_term_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,current_l2_actuator_disk_source_map,Current hover source-map force and moment target before live A4MC powered-source fitting.
a4mc_l2_actuator_disk_source_map_preset,racingQuad,total_thrust_newtons,10.787315,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,current_l2_actuator_disk_source_map,Current hover source-map force and moment target before live A4MC powered-source fitting.
a4mc_l2_actuator_disk_source_map_preset,racingQuad,thrust_to_weight,1,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,current_l2_actuator_disk_source_map,Current hover source-map force and moment target before live A4MC powered-source fitting.
