row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_rotational_damping_run_matrix_source_inventory,l2_static_airframe_rotational_damping_run_matrix,source_description,Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix records compact execution status for rotational damping body-rate cases and skips them until A4MC supports rotational flow requests.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,l2_static_airframe_rotational_damping_run_matrix_inventory,Reference surface for future live rotational damping run summaries.
a4mc_l2_static_airframe_rotational_damping_run_matrix_source_inventory,l2_static_airframe_rotational_damping_sweep_plan,source_description,Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan supplies the 24 positive and negative pitch yaw and roll body-rate targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,l2_static_airframe_rotational_damping_run_matrix_inventory,Input sweep plan for rotational damping run status.
a4mc_l2_static_airframe_rotational_damping_run_matrix_source_inventory,l2_bridge_force_moment,source_description,Aerodynamics4McL2Bridge can run static force moment L2 requests but currently has no rotational velocity-field or moving-boundary request surface.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_static_airframe_rotational_damping_run_matrix_inventory,Bridge capability boundary for rotational damping evidence.
a4mc_l2_static_airframe_rotational_damping_run_matrix_source_inventory,l2_runtime_retune_readiness_gate,source_description,Aerodynamics4McL2StaticAirframeRuntimeRetuneReadinessGate keeps runtime preset mutation blocked until this rotational evidence exists.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRuntimeRetuneReadinessGate.java,,l2_static_airframe_rotational_damping_run_matrix_inventory,Downstream gate requiring rotational evidence.
a4mc_l2_static_airframe_rotational_damping_run_matrix_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future rotational L2 force moment runs.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_rotational_damping_run_matrix_inventory,Upstream live CFD target for future rotational damping evidence.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,sweep_name,positive_pitch_rate,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,fit_role,pitch_angular_drag_positive,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,body_axis_name,pitch_x,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,body_rate_x_rad_per_s,4.8,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,body_rate_y_rad_per_s,0,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,body_rate_z_rad_per_s,0,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,body_rate_magnitude_rad_per_s,4.8,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,rate_sign,1,sign,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
a4mc_l2_static_airframe_rotational_damping_run_matrix_case,racingQuad:positive_pitch_rate,axis_tangential_speed_scale,1,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingRunMatrix.java,,current_l2_static_airframe_rotational_damping_run_matrix,Skipped rotational damping run target; current bridge lacks rotational velocity-field or moving-boundary request support.
