row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_acceptance_handoff_source_inventory,l2_powered_source_acceptance_handoff,source_description,Aerodynamics4McL2PoweredSourceAcceptanceHandoff summarizes validation-run candidates and skipped-run blockers before hover and cruise acceptance gates.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,l2_powered_source_acceptance_handoff_inventory,Acceptance handoff evidence layer.
a4mc_l2_powered_source_acceptance_handoff_source_inventory,l2_powered_source_validation_run_matrix,source_description,Aerodynamics4McL2PoweredSourceValidationRunMatrix records skipped passed and failed validation runs with blocker provenance.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceValidationRunMatrix.java,,l2_powered_source_acceptance_handoff_inventory,Validation run status and skipped blocker provenance consumed by this handoff.
a4mc_l2_powered_source_acceptance_handoff_source_inventory,l2_powered_source_result_seed,source_description,Aerodynamics4McL2PoweredSourceResultSeed proves whether validation inputs are available.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceResultSeed.java,,l2_powered_source_acceptance_handoff_inventory,Seed readiness upstream of validation runs.
a4mc_l2_powered_source_acceptance_handoff_source_inventory,l2_powered_hover_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverAcceptanceGate consumes complete passing hover validation results.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverAcceptanceGate.java,,l2_powered_source_acceptance_handoff_inventory,Hover acceptance gate target.
a4mc_l2_powered_source_acceptance_handoff_source_inventory,l2_powered_cruise_acceptance_gate,source_description,Aerodynamics4McL2PoweredCruiseAcceptanceGate consumes complete passing cruise validation results.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,l2_powered_source_acceptance_handoff_inventory,Cruise acceptance gate target.
a4mc_l2_powered_source_acceptance_handoff_source_inventory,l2_powered_source_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceRequestReadinessGate blocks powered-source request execution until API and envelope evidence are ready.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,l2_powered_source_acceptance_handoff_inventory,Request readiness boundary upstream of validation evidence.
a4mc_l2_powered_source_acceptance_handoff_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered body-force or porous-source request support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_acceptance_handoff_inventory,Upstream CFD target for future powered source acceptance evidence.
a4mc_l2_powered_source_acceptance_handoff,hover,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,validation_packet_id,A4MC-L2-Powered-Hover-Validation-Packet,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,acceptance_gate_packet_id,A4MC-L2-Powered-Hover-Acceptance-Gate-Packet,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,expected_preset_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,observed_validation_run_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,validation_seed_ready_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,validation_invoked_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,validation_passed_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,acceptance_candidate_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,skipped_validation_run_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff keeps acceptance gates blocked until all validation candidates are present and passing.
a4mc_l2_powered_source_acceptance_handoff,hover,skipped_validation_blocker_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff preserves skipped validation blocker provenance before acceptance gates can consume candidates.
a4mc_l2_powered_source_acceptance_handoff,hover,dominant_skipped_validation_message,powered-source-api-surface-missing,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,current_l2_powered_source_acceptance_handoff,Current handoff preserves skipped validation blocker provenance before acceptance gates can consume candidates.
