row_type,scenario_name,status,metric_or_queue_ordinal,value_or_preset_name,unit_or_case_name,query_advance_ratio_j,query_rpm,minimum_neighbor_rows_required,lookup_run_authorized,result_evidence_present,observed_neighbor_rows,ct_coefficient,cp_coefficient,eta,max_ct_shape_overshoot,min_cp_coefficient,max_eta_residual,static_anchor_error,archive_curve_shape_guard_inherited,acceptance_result_ready,acceptance_result_passed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required before result evidence can be trusted
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Target-Run-Queue-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-authorized-lab-lookup-targets-with-reviewed-ct-cp-j-payloads,run queue supplies authorized and blocked lab targets
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,execution contract defines CT CP eta and guard result fields
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,acceptance gate consumes only complete result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,policy supplies query J RPM and neighbor thresholds
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Review-Handoff-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-coefficient-payload-review-handoff-before-lookup-execution,reviewed coefficient payload remains upstream evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Execution-Handoff-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,surface fit handoff carries curve-shape diagnostics into execution
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,caveat,result-seeds-no-runtime-authority,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,result seeds never mutate runtime physics
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,1,racingQuad,static_anchor_low_rpm,0,1477.8,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,2,racingQuad,mid_domain_mid_rpm,0.4064,4712.25,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,3,racingQuad,high_domain_max_rpm,0.73152,7946.7,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
