row_type,name,source,paper,measured_channels,thrust_load_cell_capacity_kgf,thrust_precision_gf,torque_capacity_nm,torque_precision_nm,note,z_over_d_min,z_over_d_max,spacing_point_count,command_grid_points_per_spacing,points_per_rotor_set,rotor_diameter_in_examples,metric,z_over_d_center,mechanical_efficiency_gain_percent,preset,radius_m,upper_lower_separation_m,separation_over_radius,separation_over_diameter,operating_point,z_over_d,separation_m,spin_ratio,target_thrust_per_rotor_n,source_induced_velocity_m_s,axial_wake_overlap,axial_lateral_factor,wake_geometry_factor,wake_interference_intensity,wake_thrust_scale,wake_thrust_loss_percent,swirl_capture,wake_swirl_velocity_m_s,wake_swirl_ratio_tip_speed,wake_interference_vibration,wake_swirl_vibration,wake_swirl_load_factor
reference_benchmark_platform,New Dexterity Coaxial Benchmarking Platform,https://raw.githubusercontent.com/newdexterity/Coaxial-Benchmarking-Platform/master/README.md,https://doi.org/10.1109/LRA.2022.3153999,"thrust, torque, RPM, voltage, current",5.0,2.5,1.4715,0.00073575,Open hardware/test platform reference; numbers come from the project README.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_spacing_scan,Hackaday/New Dexterity spacing sweep,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,https://doi.org/10.1109/LRA.2022.3153999,,,,,,Result log reports seven z/D spacings from 0.1 to 1.0 and a 10x10 actuation map per spacing.,0.1,1.0,7,100,700,"11, 16.2, 22",,,,,,,,,,,,,,,,,,,,,,,,,,
reference_efficiency_region,11in local efficiency maxima region 1,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,https://doi.org/10.1109/LRA.2022.3153999,,,,,,"Qualitative region from the public result log; use as a spacing-region anchor, not digitized curve data.",0.25,0.4,,,,,mechanical_efficiency_local_maximum,,,,,,,,,,,,,,,,,,,,,,,,,
reference_efficiency_region,11in local efficiency minimum,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,https://doi.org/10.1109/LRA.2022.3153999,,,,,,Qualitative region from the public result log.,,,,,,,mechanical_efficiency_local_minimum,0.55,,,,,,,,,,,,,,,,,,,,,,,,
reference_efficiency_region,11in local efficiency maxima region 2,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,https://doi.org/10.1109/LRA.2022.3153999,,,,,,The current coaxialX8 z/D=0.72 lands in this qualitative region.,0.7,0.85,,,,,mechanical_efficiency_local_maximum,,,,,,,,,,,,,,,,,,,,,,,,,
reference_control_allocation_claim,coaxial allocation efficiency gain,https://www.researchgate.net/publication/358835549_A_Benchmarking_Platform_and_a_Control_Allocation_Method_for_Improving_the_Efficiency_of_Coaxial_Rotor_Systems,https://doi.org/10.1109/LRA.2022.3153999,,,,,,Public abstract/preview reports up to 11% mechanical-efficiency improvement from the allocation method; treat as a high-level claim until the full curve is digitized.,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,
current_coaxial_geometry,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,,,,,,,,,,,,,,coaxialX8,0.115,0.1656,1.44,0.72,,,,,,,,,,,,,,,,,,
current_coaxial_wake_scan,coaxialX8_hover_zD_0.10,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,0.1,0.023000000000000003,0.6064234288020212,8.825985000000001,9.311631346033977,0.2,1.0,0.2,0.06472389,0.9857607442,1.4239255799999961,0.6848992800322831,0.41277852461441805,0.006834592894293088,0.004751360438363994,0.0034571582709926846,0.0013669185788586177
current_coaxial_wake_scan,coaxialX8_hover_zD_0.25,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,0.25,0.0575,0.6064234288020212,8.825985000000001,9.311631346033977,1.0,1.0,1.0,0.32361945,0.928803721,7.119627900000003,0.6848992800322831,2.0638926230720895,0.03417296447146543,0.0355247052032516,0.012938224000420315,0.006834592894293086
current_coaxial_wake_scan,coaxialX8_hover_zD_0.40,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors the current axial coaxial wake path with zero crossflow and aligned upper/lower rotors; only upper-to-lower contribution is represented.,,,,,,,,,,coaxialX8,0.115,,,,hover,0.4,0.09200000000000001,0.6064234288020212,8.825985000000001,9.311631346033977,1.0,1.0,1.0,0.32361945,0.928803721,7.119627900000003,0.6848992800322831,2.0638926230720895,0.03417296447146543,0.0355247052032516,0.012938224000420315,0.006834592894293086
