row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_multi_axis_sweep_plan_source_inventory,l2_static_airframe_multi_axis_sweep_plan,source_description,"Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan expands each static-airframe preset into forward reverse sideslip and angle-of-attack L2 force/moment request targets.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,l2_static_airframe_multi_axis_sweep_plan_inventory,Reference surface for future live multi-axis A4MC L2 static-airframe coefficient fitting.
a4mc_l2_static_airframe_multi_axis_sweep_plan_source_inventory,l2_drone_probe_geometry,source_description,"Aerodynamics4McL2DroneProbe supplies the solid mask grid and body ellipsoid geometry reused by every sweep case.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_static_airframe_multi_axis_sweep_plan_inventory,Reference surface for future live multi-axis A4MC L2 static-airframe coefficient fitting.
a4mc_l2_static_airframe_multi_axis_sweep_plan_source_inventory,l2_static_airframe_gameplay_fit_candidate,source_description,"Aerodynamics4McL2StaticAirframeGameplayFitCandidate remains forward-drag-only until this multi-axis sweep has live force moment and pressure-center results.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,l2_static_airframe_multi_axis_sweep_plan_inventory,Reference surface for future live multi-axis A4MC L2 static-airframe coefficient fitting.
a4mc_l2_static_airframe_multi_axis_sweep_plan_source_inventory,drone_physics_airframe,source_description,"DronePhysics contains drag lift sideforce attitude torque and pressure-center paths that need multi-axis coefficient evidence before retuning.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,l2_static_airframe_multi_axis_sweep_plan_inventory,Reference surface for future live multi-axis A4MC L2 static-airframe coefficient fitting.
a4mc_l2_static_airframe_multi_axis_sweep_plan_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for live multi-axis L2 force moment and pressure-center runs.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_multi_axis_sweep_plan_inventory,Reference surface for future live multi-axis A4MC L2 static-airframe coefficient fitting.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,fit_role,drag_z,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,inlet_vx_mps,0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,inlet_vy_mps,0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,inlet_vz_mps,-18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,inlet_speed_mps,18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,normalized_inlet_x,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,normalized_inlet_y,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,normalized_inlet_z,-1,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,sweep_angle_deg,0,deg,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
a4mc_l2_static_airframe_multi_axis_sweep_plan_case,racingQuad:forward_drag,steps,72,steps,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,current_l2_static_airframe_multi_axis_sweep_plan,Live A4MC L2 target; raw flow atlas remains disabled and only compact force moment pressure-center output should be retained.
