row_type,preset_name,case_name,status,metric,value,unit,performance_match_id,query_advance_ratio_j,query_rpm,inside_lookup_domain,minimum_performance_neighbor_rows,available_rectangular_neighbor_rows,available_nonstatic_neighbor_rows,reviewed_neighbor_binding_ready,scattered_fit_required,post_review_ct_cp_j_lookup_allowed,post_review_full_simulation_lookup_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_archive_lookup_grid_source,source_fingerprint,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,archive.zip,,,,,,,,,false,false,false,false,compare-local-archive-hash-before-reviewed-import,archive identity and comma-delimited headers are captured
propeller_archive_ct_cp_j_archive_lookup_grid_source,fit_import_contract,source,READY,source_id,User-Propeller-Archive-Fit-Import-Contract-Packet,text,reviewed_import_contract,,,,,,,,,false,false,false,false,validate-performance-and-geometry-headers,reviewed import schema owns raw-row validation
propeller_archive_ct_cp_j_archive_lookup_grid_source,lookup_seed,source,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Seed-Packet,text,lookup_seed,,,,,,,,,false,false,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,current lookup seed remains source-review blocked
propeller_archive_ct_cp_j_archive_lookup_grid_source,query_envelope,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Query-Envelope-Packet,text,query_envelope,,,,,,,,,false,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,query coordinates are reused for coverage checks
propeller_archive_ct_cp_j_archive_lookup_grid_source,interpolation_policy,source,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,interpolation_policy,,,,,,,,,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,policy requires reviewed neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_source,raw_row_boundary,source,BLOCKED,raw_rows_vendored_count,0,count,user_supplied_archive_zip,,,,,,,,,false,false,false,false,review-source-license-before-importing-raw-rows,raw archive rows stay outside the repository
propeller_archive_ct_cp_j_archive_lookup_grid_source,runtime_boundary,source,READY,runtime_coupling_allowed,false,boolean,DronePhysics,,,,,,,,,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,coverage audit cannot mutate runtime or gameplay
propeller_archive_ct_cp_j_archive_lookup_grid_topology,racingQuad,topology,SCATTERED_FIT_REQUIRED,performance_sample_row_count,63,count,da4052 5.0x3.75 - 3,,,,14,18,49,false,true,true,true,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,14 static rows and 4 dense nonstatic rpm tracks are not a rectangular grid
propeller_archive_ct_cp_j_archive_lookup_grid_topology,apDrone,topology,SCATTERED_FIT_REQUIRED,performance_sample_row_count,63,count,da4052 5.0x3.75 - 3,,,,14,18,49,false,true,true,true,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,same da4052 topology as racingQuad
propeller_archive_ct_cp_j_archive_lookup_grid_topology,cinewhoop,topology,COVERAGE_BLOCKED,performance_sample_row_count,103,count,gwsdd 3.0x3.0 - 2,,,,13,18,90,false,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,blade-count mismatch blocks reviewed lookup binding
propeller_archive_ct_cp_j_archive_lookup_grid_topology,heavyLift,topology,PERFORMANCE_ONLY_SCATTERED_FIT_REQUIRED,performance_sample_row_count,128,count,ancf 10.0x5.0 - 2,,,,14,20,114,false,true,true,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,performance rows exist but geometry coverage remains blocked
propeller_archive_ct_cp_j_archive_lookup_grid_query,racingQuad,static_anchor_low_rpm,NEIGHBOR_BINDING_READY_AFTER_REVIEW,available_rectangular_neighbor_rows,2,count,da4052 5.0x3.75 - 3,0.0,1477.8,true,1,2,0,true,false,true,true,false,false,ready-for-reviewed-neighbor-binding,static anchor can bind after review
propeller_archive_ct_cp_j_archive_lookup_grid_query,racingQuad,mid_domain_mid_rpm,RECTANGULAR_GRID_MISSING,available_rectangular_neighbor_rows,2,count,da4052 5.0x3.75 - 3,0.4064,4712.25,true,4,2,0,false,true,true,true,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,mid-domain query lacks nonstatic rectangular neighbors
propeller_archive_ct_cp_j_archive_lookup_grid_query,racingQuad,high_domain_max_rpm,RECTANGULAR_GRID_MISSING,available_rectangular_neighbor_rows,1,count,da4052 5.0x3.75 - 3,0.73152,7946.7,true,2,1,0,false,true,true,true,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,high-domain query lacks rectangular high-J neighbors
