row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_acceptance_gate_source_inventory,l2_powered_cruise_acceptance_gate,source_description,Aerodynamics4McL2PoweredCruiseAcceptanceGate aggregates per-preset powered cruise validation results into a gameplay coupling decision.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,l2_powered_cruise_acceptance_inventory,Reference surface for future A4MC L2 powered-cruise gameplay acceptance gating.
a4mc_l2_powered_cruise_acceptance_gate_source_inventory,l2_powered_cruise_validation,source_description,Aerodynamics4McL2PoweredCruiseValidation supplies the baseline-subtracted force moment and center-of-force pass/fail result for each preset.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseValidation.java,,l2_powered_cruise_acceptance_inventory,Reference surface for future A4MC L2 powered-cruise gameplay acceptance gating.
a4mc_l2_powered_cruise_acceptance_gate_source_inventory,l2_powered_cruise_experiment_plan,source_description,Aerodynamics4McL2PoweredCruiseExperimentPlan supplies the current four-preset powered-cruise validation target set.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,l2_powered_cruise_acceptance_inventory,Reference surface for future A4MC L2 powered-cruise gameplay acceptance gating.
a4mc_l2_powered_cruise_acceptance_gate_source_inventory,l2_bridge_force_moment,source_description,Aerodynamics4McL2Bridge.L2ForceMomentSample is the compact live L2 output shape expected before this gate can open.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_cruise_acceptance_inventory,Reference surface for future A4MC L2 powered-cruise gameplay acceptance gating.
a4mc_l2_powered_cruise_acceptance_gate_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future edgewise powered source-term force and moment validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_acceptance_inventory,Reference surface for future A4MC L2 powered-cruise gameplay acceptance gating.
a4mc_l2_powered_cruise_acceptance_gate_scenario,current_api_unavailable_no_results,powered_source_api_available,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,current_l2_powered_cruise_acceptance,Gameplay coupling remains blocked unless the powered-source API exists and every expected powered-cruise preset validation passes.
a4mc_l2_powered_cruise_acceptance_gate_scenario,current_api_unavailable_no_results,expected_target_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,current_l2_powered_cruise_acceptance,Gameplay coupling remains blocked unless the powered-source API exists and every expected powered-cruise preset validation passes.
a4mc_l2_powered_cruise_acceptance_gate_scenario,current_api_unavailable_no_results,observed_result_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,current_l2_powered_cruise_acceptance,Gameplay coupling remains blocked unless the powered-source API exists and every expected powered-cruise preset validation passes.
a4mc_l2_powered_cruise_acceptance_gate_scenario,current_api_unavailable_no_results,passed_result_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,current_l2_powered_cruise_acceptance,Gameplay coupling remains blocked unless the powered-source API exists and every expected powered-cruise preset validation passes.
a4mc_l2_powered_cruise_acceptance_gate_scenario,current_api_unavailable_no_results,failed_result_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,current_l2_powered_cruise_acceptance,Gameplay coupling remains blocked unless the powered-source API exists and every expected powered-cruise preset validation passes.
