row_type,name,metric,value,unit,source_field,target_field,required,current_satisfied,reviewed_import_satisfied,synthetic_target_satisfied,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_fit_import_source,all,source_id,User-Propeller-Archive-Fit-Import-Contract-Packet,text,user_supplied_archive_zip,fit_import_contract,true,false,true,true,false,false,review-source-license-before-importing-raw-rows,BLOCKED,defines reviewed offline import contract without importing raw rows
propeller_archive_fit_import_source,all,triage_packet,docs/data/propeller_archive_dataset_triage_packet.csv,path,propeller_archive_dataset_triage_packet.csv,source_triage,true,true,true,true,false,false,read-triage-packet,TRIAGED,source summary and preset nearest matches
propeller_archive_fit_import_source,all,readiness_gate,docs/data/propeller_archive_fit_readiness_gate_packet.csv,path,propeller_archive_fit_readiness_gate_packet.csv,fit_readiness,true,true,true,true,false,false,read-fit-readiness-gate,TRIAGED,readiness scenarios for current reviewed and synthetic states
propeller_archive_fit_import_source,all,blocker_report,docs/data/propeller_archive_fit_blocker_report_packet.csv,path,propeller_archive_fit_blocker_report_packet.csv,fit_blocker_report,true,true,true,true,false,false,read-fit-blocker-report,TRIAGED,blocker report decomposes source coverage fit handoff and leak blockers
propeller_archive_fit_import_source,all,raw_rows_vendored,false,boolean,user_supplied_archive_zip,repo_boundary,true,true,true,true,false,false,review-source-license-before-importing-raw-rows,BLOCKED,raw archive remains outside repo
propeller_archive_fit_import_source,all,gameplay_auto_apply_allowed,false,boolean,fit_import_contract,playable_boundary,true,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,BLOCKED,contract never applies gameplay values automatically
propeller_archive_fit_import_field,performance,source_file,source_file,path,source_file,source_file,true,false,true,true,false,false,validate-performance-and-geometry-headers,FIELD_CONTRACT,provenance and volume split
propeller_archive_fit_import_field,performance,propeller_id,PropName,text,PropName,propeller_id,true,false,true,true,false,false,validate-performance-and-geometry-headers,FIELD_CONTRACT,performance curve grouping
propeller_archive_fit_import_field,performance,blade_id,BladeName,text,BladeName,blade_id,true,false,true,true,false,false,validate-performance-and-geometry-headers,FIELD_CONTRACT,geometry/performance join key
propeller_archive_fit_import_field,performance,family_id,Family,text,Family,family_id,true,false,true,true,false,false,validate-performance-and-geometry-headers,FIELD_CONTRACT,manufacturer/family grouping
propeller_archive_fit_import_field,performance,blade_count,B,count,B,blade_count,true,false,true,true,false,false,normalize-diameter-pitch-rpm-and-coefficient-units,FIELD_CONTRACT,blade-count coverage gate
propeller_archive_fit_import_field,performance,diameter_inches,D,in,D,diameter_inches,true,false,true,true,false,false,normalize-diameter-pitch-rpm-and-coefficient-units,FIELD_CONTRACT,RotorSpec diameter matching
propeller_archive_fit_import_field,performance,pitch_inches,P,in,P,pitch_inches,true,false,true,true,false,false,normalize-diameter-pitch-rpm-and-coefficient-units,FIELD_CONTRACT,RotorSpec pitch matching
propeller_archive_fit_import_field,performance,advance_ratio,J,J,J,advance_ratio,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,CT/CP curve independent variable
propeller_archive_fit_import_field,performance,rpm,N,rpm,N,rpm,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,Reynolds/RPM binning
propeller_archive_fit_import_field,performance,thrust_coefficient,CT,coefficient,CT,thrust_coefficient,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,rotor thrust coefficient fit
propeller_archive_fit_import_field,performance,power_coefficient,CP,coefficient,CP,power_coefficient,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,rotor power coefficient fit
propeller_archive_fit_import_field,performance,efficiency,eta,ratio,eta,efficiency,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,power/efficiency consistency check
propeller_archive_fit_import_field,geometry,source_file,source_file,path,source_file,source_file,true,false,true,true,false,false,validate-performance-and-geometry-headers,FIELD_CONTRACT,provenance and volume split
propeller_archive_fit_import_field,geometry,blade_id,BladeName,text,BladeName,blade_id,true,false,true,true,false,false,validate-performance-and-geometry-headers,FIELD_CONTRACT,geometry/performance join key
propeller_archive_fit_import_field,geometry,family_id,Family,text,Family,family_id,true,false,true,true,false,false,validate-performance-and-geometry-headers,FIELD_CONTRACT,manufacturer/family grouping
propeller_archive_fit_import_field,geometry,diameter_inches,D,in,D,diameter_inches,true,false,true,true,false,false,normalize-diameter-pitch-rpm-and-coefficient-units,FIELD_CONTRACT,geometry diameter matching
propeller_archive_fit_import_field,geometry,pitch_inches,P,in,P,pitch_inches,true,false,true,true,false,false,normalize-diameter-pitch-rpm-and-coefficient-units,FIELD_CONTRACT,geometry pitch matching
propeller_archive_fit_import_field,geometry,chord_to_radius,c/R,ratio,c/R,chord_to_radius,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,representative blade chord fit
propeller_archive_fit_import_field,geometry,station_radius_ratio,r/R,ratio,r/R,station_radius_ratio,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,blade station independent variable
propeller_archive_fit_import_field,geometry,beta_degrees,beta,deg,beta,beta_degrees,true,false,true,true,false,false,reject-nonfinite-performance-and-geometry-rows,FIELD_CONTRACT,blade pitch-angle fit
propeller_archive_fit_import_field,fit_target,preset_name,presetName,text,presetName,preset_name,true,false,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,FIELD_CONTRACT,DroneConfig fit target key
propeller_archive_fit_import_field,fit_target,performance_match_id,matchedPropName,text,matchedPropName,performance_match_id,true,false,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,FIELD_CONTRACT,selected performance curve source
propeller_archive_fit_import_field,fit_target,geometry_match_id,matchedBladeName,text,matchedBladeName,geometry_match_id,true,false,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,FIELD_CONTRACT,selected geometry curve source
propeller_archive_fit_import_field,fit_target,target_blade_count,targetBladeCount,count,targetBladeCount,target_blade_count,true,false,true,true,false,false,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,FIELD_CONTRACT,RotorSpec blade-count target
