row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_coefficient_acceptance_gate_source_inventory,l2_static_airframe_coefficient_acceptance_gate,source_description,"Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate keeps coefficient seeds out of gameplay fitting until every preset is live-runtime fit-ready and bounded.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,l2_static_airframe_coefficient_acceptance_inventory,Reference surface for static-airframe coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_coefficient_acceptance_gate_source_inventory,l2_static_airframe_coefficient_seed,source_description,"Aerodynamics4McL2StaticAirframeCoefficientSeed supplies normalized static-airframe force/moment coefficient seeds.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,l2_static_airframe_coefficient_acceptance_inventory,Reference surface for static-airframe coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_coefficient_acceptance_gate_source_inventory,l2_static_airframe_run_matrix,source_description,"Aerodynamics4McL2StaticAirframeRunMatrix supplies compact L2 run summaries that coefficient seeds normalize.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRunMatrix.java,,l2_static_airframe_coefficient_acceptance_inventory,Reference surface for static-airframe coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_coefficient_acceptance_gate_source_inventory,drone_physics_airframe,source_description,"DronePhysics owns the gameplay airframe drag lift sideforce and moment terms that future live coefficients may inform after this gate opens.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,l2_static_airframe_coefficient_acceptance_inventory,Reference surface for static-airframe coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_coefficient_acceptance_gate_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for live L2 wind-tunnel force/moment coefficient fitting.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_coefficient_acceptance_inventory,Reference surface for static-airframe coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,expected_seed_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,observed_seed_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,fit_ready_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,live_runtime_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,bounded_coefficient_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,missing_seed_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,unexpected_seed_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,max_drag_coefficient,0,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,max_force_coefficient_magnitude,0,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,max_moment_coefficient_magnitude,0,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,max_pressure_center_offset_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
a4mc_l2_static_airframe_coefficient_acceptance_gate_scenario,current_runtime_unavailable,all_seeds_present,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,current_l2_static_airframe_coefficient_acceptance,Gameplay coefficient fitting remains blocked unless all expected preset seeds are fit-ready bounded and from live A4MC runtime.
