row_type,scenario_name,sequence_index,lane_name,blocker_kind,status,metric,value,unit,prerequisite_lane,required_evidence_artifact,acceptance_gate,evidence_submitted,evidence_accepted,prerequisite_evidence_accepted,lane_satisfied,clears_promotion_blocker,clears_full_simulation_coverage_blocker,affected_slot_count,promotion_blocker_incidence,full_simulation_coverage_incidence,reviewed_payload_review_allowed,lookup_execution_input_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_source,source,0,source_fingerprint,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,none,source_fingerprint,archive identity reference,false,false,false,false,false,false,0,0,0,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity feeding evidence ledger
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_source,source,0,clearance_plan,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Clearance-Plan-Packet,text,none,clearance_plan,clearance lane source,false,false,false,false,false,false,0,0,0,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,clearance plan defines required artifacts
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_source,source,0,blocker_report,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Blocker-Report-Packet,text,none,blocker_report,blocker lane source,false,false,false,false,false,false,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,blocker report feeds evidence lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_source,source,0,promotion_gate,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Gate-Packet,text,none,promotion_gate,promotion gate source,false,false,false,false,false,false,0,0,0,false,false,false,false,keep-reviewed-payload-output-closed-until-promotion-gates-clear,promotion gate remains closed
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_source,source,0,reviewed_payload,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,none,reviewed_payload,reviewed payload target,false,false,false,false,false,false,0,0,0,false,false,false,false,fill-reviewed-coefficient-payload-before-execution,ledger does not create CT CP rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_source,source,0,lookup_execution_contract,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,none,lookup_execution_contract,execution remains downstream,false,false,false,false,false,false,0,0,0,false,false,false,false,keep-lookup-execution-input-closed,ledger does not open lookup execution
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_source,source,0,ledger_caveat,source,READY,caveat,review-evidence-only-no-runtime-authority,text,none,ledger_caveat,ledger caveat,false,false,false,false,false,false,0,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current packet is evidence ledger only
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_lane,current_no_evidence_submitted,1,source_review,SOURCE_REVIEW,MISSING,evidence_lane_state,missing,state,none,source-license-review-memo-plus-archive-fingerprint,archive identity license and raw-row use approved for offline coefficient review,false,false,true,false,true,false,21,21,0,false,false,false,false,submit-source-license-review-memo-plus-archive-fingerprint,missing source review evidence
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_lane,current_no_evidence_submitted,2,coefficient_payload_review,PAYLOAD_REVIEW,MISSING,evidence_lane_state,missing,state,source_review,reviewed-ct-cp-payload-rowset,all 21 coefficient payload slots reviewed against source identity and slot keys,false,false,false,false,true,false,21,21,0,false,false,false,false,submit-reviewed-ct-cp-payload-rowset,missing coefficient payload review evidence
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_lane,current_no_evidence_submitted,3,draft_review,DRAFT_REVIEW,MISSING,evidence_lane_state,missing,state,coefficient_payload_review,draft-risk-review-signoff,draft review queue priority items closed or explicitly rejected,false,false,false,false,true,false,21,21,0,false,false,false,false,submit-draft-risk-review-signoff,missing draft review signoff
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_lane,current_no_evidence_submitted,4,coefficient_guard,COEFFICIENT_GUARD,MISSING,evidence_lane_state,missing,state,draft_review,coefficient-guard-resolution-record,finite nonnegative CT positive CP and eta consistency accepted for promoted rows,false,false,false,false,true,false,1,1,0,false,false,false,false,submit-coefficient-guard-resolution-record,missing coefficient guard resolution
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_lane,current_no_evidence_submitted,5,negative_ct_risk,NEGATIVE_CT,MISSING,evidence_lane_state,missing,state,coefficient_guard,heavy-lift-high-j-negative-ct-review,negative CT row corrected rejected or isolated from payload promotion,false,false,false,false,true,false,1,1,0,false,false,false,false,submit-heavy-lift-high-j-negative-ct-review,missing negative CT resolution
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_lane,current_no_evidence_submitted,6,source_distance_risk,SOURCE_DISTANCE,MISSING,evidence_lane_state,missing,state,draft_review,local-fit-support-expansion-or-revalidation,distant source support rows refit with accepted stencil or rejected from promotion,false,false,false,false,true,false,4,4,0,false,false,false,false,submit-local-fit-support-expansion-or-revalidation,missing source distance revalidation
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_lane,current_no_evidence_submitted,7,performance_only_geometry_coverage,FULL_SIMULATION_COVERAGE,MISSING,evidence_lane_state,missing,state,source_review,heavy-lift-reviewed-geometry-or-surrogate,heavyLift performance-only rows receive reviewed geometry before full simulation evidence,false,false,false,false,false,true,7,0,7,false,false,false,false,submit-heavy-lift-reviewed-geometry-or-surrogate,missing heavyLift geometry coverage
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_scenario,current_no_evidence_submitted,all,scenario,EVIDENCE_LEDGER,BLOCKED,satisfied_evidence_lane_count,0,count,not_applicable,scenario,scenario,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no clearance evidence submitted
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_scenario,synthetic_source_review_evidence_only,all,scenario,SOURCE_REVIEW,BLOCKED,satisfied_evidence_lane_count,1,count,source_review,scenario,scenario,true,true,true,true,true,false,7,1,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,source evidence alone does not clear payload promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_scenario,synthetic_promotion_evidence_accepted_geometry_pending,all,scenario,PROMOTION_EVIDENCE,READY,promotion_evidence_complete,true,boolean,promotion_lanes,scenario,scenario,true,true,true,true,true,false,7,6,0,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,payload review may proceed while full simulation geometry remains pending
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_scenario,synthetic_all_clearance_evidence_accepted,all,scenario,FULL_SIMULATION_EVIDENCE,READY,full_simulation_evidence_complete,true,boolean,all_lanes,scenario,scenario,true,true,true,true,true,true,7,6,1,true,false,false,false,review-coefficient-payload-values-before-lookup-execution,all evidence accepted but lookup input still requires reviewed CT CP rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,evidence_lane_count,7,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,total evidence lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,submitted_evidence_count,0,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no submitted evidence yet
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,accepted_evidence_artifact_count,0,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no accepted artifacts yet
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,satisfied_evidence_lane_count,0,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no satisfied evidence lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,missing_evidence_count,7,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,all evidence lanes are missing
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,rejected_evidence_count,0,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no rejected evidence yet
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,waiting_prerequisite_count,0,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no accepted evidence waits on prerequisites yet
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,required_promotion_evidence_lane_count,6,count,not_applicable,summary,summary,false,false,false,false,false,false,7,6,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,six promotion evidence lanes required
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,accepted_promotion_evidence_lane_count,0,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no promotion evidence lanes accepted
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,required_full_simulation_evidence_lane_count,1,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,1,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,one full simulation evidence lane required
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,accepted_full_simulation_evidence_lane_count,0,count,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,no full simulation evidence accepted
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_evidence_summary,current_no_evidence_submitted,all,summary,summary,BLOCKED,promotion_evidence_complete,false,boolean,not_applicable,summary,summary,false,false,false,false,false,false,7,0,0,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,promotion evidence incomplete
