row_type,name,metric,value,unit,source_file,evidence_role,status,note
propeller_archive_curve_fit_acceptance_gate_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint identifies the external archive and entry hashes before reviewed import.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,READY,raw rows remain outside repository
propeller_archive_curve_fit_acceptance_gate_source,dataset_triage,source_description,PropellerArchiveDatasetTriage supplies row counts preset matches and coverage blockers.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveDatasetTriage.java,coverage_context,READY,triage identifies cinewhoop blade-count and heavyLift geometry gaps
propeller_archive_curve_fit_acceptance_gate_source,fit_import_contract,source_description,PropellerArchiveFitImportContract defines reviewed schema and import stages.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveFitImportContract.java,import_contract,BLOCKED,source review and coverage resolution precede fit acceptance
propeller_archive_curve_fit_acceptance_gate_source,curve_fit_plan,source_description,PropellerArchiveCurveFitPlan defines six required CT CP eta static and geometry fit families for four presets.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitPlan.java,curve_fit_target_inventory,PLANNED,twenty-four required preset curve targets
propeller_archive_curve_fit_acceptance_gate_source,aerodynamics4mc_core_reference,source_description,Aerodynamics4MC Core remains the upstream voxel aerodynamics target for later validation comparison.,text,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,a4mc_reference,REFERENCE,acceptance does not imply direct A4MC L2 evidence
propeller_archive_curve_fit_acceptance_gate_source,runtime_boundary,source_description,Acceptance gate never enables runtime coupling or gameplay auto-apply.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,leak_guard,READY,runtime and playable remain closed after curve-fit acceptance
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,reviewed_import_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,reviewed-import-missing
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,fit_input_coverage_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,reviewed-import-missing
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,curve_fit_executed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,reviewed-import-missing
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,compact_reference_reviewed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,reviewed-import-missing
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,expected_target_count,24,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,4 presets times 6 required curve families
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,observed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,no fitted results are imported
propeller_archive_curve_fit_acceptance_gate_scenario,current_no_reviewed_import_no_results,passed_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,current_acceptance_gate,BLOCKED,no fitted results are imported
