row_type,scenario_name,status,metric,value,unit,result_seed_scenario,reviewed_import_ready,interpolation_policy_ready,lookup_execution_contract_ready,lookup_interpolation_executed,compact_reference_reviewed,expected_target_count,seed_row_count,ready_seed_count,pending_seed_count,unavailable_seed_count,failed_seed_count,acceptance_result_count,passed_acceptance_result_count,missing_acceptance_result_count,lookup_acceptance_ready,compact_reference_export_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,source_fingerprint,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required before acceptance handoff
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Result-Seed-Packet,text,result_seed,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,result seeds supply per-target evidence slots
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Target-Run-Queue-Packet,text,target_run_queue,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,execute-authorized-lab-lookup-targets-with-reviewed-ct-cp-j-payloads,run queue controls authorization before results
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,acceptance_gate,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,acceptance gate checks target completeness and physical guards
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,execution_contract,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,fix-lookup-execution-result-before-acceptance,execution contract supplies accepted result evidence
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,interpolation_policy,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,policy supplies the nine acceptance targets
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Input-Readiness-Gate-Packet,text,input_readiness_gate,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,complete-payload-and-surface-fit-handoffs-before-lookup-execution,readiness remains upstream of result handoff
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_source,source,READY,caveat,acceptance-handoff-no-runtime-authority,text,runtime_boundary,false,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,handoff never enables runtime or gameplay auto apply
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff,current_result_seeds_unavailable,BLOCKED,acceptance_handoff_ready,false,boolean,current_payload_and_surface_fit_blocked,false,false,false,false,false,9,9,0,0,9,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current result seeds are unavailable before authorization
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff,authorized_runs_pending_results,PENDING_RESULTS,pending_seed_count,9,count,payload_and_surface_fit_ready,true,true,true,false,false,9,9,0,9,0,0,0,0,9,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab runs still have no CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff,synthetic_all_result_seeds_ready,HANDOFF_READY,acceptance_result_count,9,count,synthetic_all_result_seeds_ready,true,true,true,true,false,9,9,9,0,0,0,9,9,0,true,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,synthetic complete result set proves handoff without opening compact reference export
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,scenario_count,3,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,three acceptance handoff scenarios
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,handoff_ready_scenario_count,1,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,only the synthetic all-ready scenario opens handoff
propeller_archive_ct_cp_j_lookup_execution_acceptance_handoff_summary,all,BLOCKED,blocked_scenario_count,2,count,summary,false,false,false,false,false,9,0,0,0,0,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current and pending scenarios remain blocked
