row_type,name,metric,value,unit,source_file,evidence_role,status,note
propeller_archive_compact_reference_handoff_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint identifies the external archive and entry hashes before reviewed import.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,READY,raw rows remain outside repository
propeller_archive_compact_reference_handoff_source,dataset_triage,source_description,PropellerArchiveDatasetTriage supplies preset matches and coverage blockers.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveDatasetTriage.java,coverage_context,READY,coverage blockers remain visible before handoff
propeller_archive_compact_reference_handoff_source,fit_import_contract,source_description,PropellerArchiveFitImportContract defines reviewed offline import schema.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveFitImportContract.java,import_contract,BLOCKED,raw import is still blocked by source review
propeller_archive_compact_reference_handoff_source,curve_fit_plan,source_description,PropellerArchiveCurveFitPlan defines required CT CP eta static and geometry curve families.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitPlan.java,curve_fit_target_inventory,PLANNED,twenty-four preset curve targets feed acceptance
propeller_archive_compact_reference_handoff_source,curve_fit_acceptance_gate,source_description,PropellerArchiveCurveFitAcceptanceGate decides when accepted fit results may feed compact reference review.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,fit_quality_gate,BLOCKED,current acceptance remains blocked
propeller_archive_compact_reference_handoff_source,runtime_boundary,source_description,Compact reference handoff never enables runtime coupling or gameplay auto-apply.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,leak_guard,READY,playable may review mature references only after gate opens
propeller_archive_compact_reference_handoff_field,preset_name,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,join playable profile to reviewed simulation fit
propeller_archive_compact_reference_handoff_field,source_archive_sha256,unit,sha256,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,prove source data identity
propeller_archive_compact_reference_handoff_field,performance_match_id,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,trace CT CP fit provenance
propeller_archive_compact_reference_handoff_field,geometry_match_id,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,trace chord beta fit provenance
propeller_archive_compact_reference_handoff_field,advance_ratio_domain,unit,J,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,bound forward-flight curve lookup
propeller_archive_compact_reference_handoff_field,rpm_domain,unit,rpm,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,bound speed-dependent fit lookup
propeller_archive_compact_reference_handoff_field,ct_curve_reference,unit,coefficient,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,simulation-derived thrust feel reference
propeller_archive_compact_reference_handoff_field,cp_curve_reference,unit,coefficient,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,simulation-derived power draw reference
propeller_archive_compact_reference_handoff_field,eta_consistency_residual,unit,ratio,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,reject inconsistent thrust power tuning
propeller_archive_compact_reference_handoff_field,static_ct_cp_anchor,unit,coefficient,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,hover thrust and power reference
propeller_archive_compact_reference_handoff_field,chord_distribution_reference,unit,ratio,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,geometry-driven solidity reference
propeller_archive_compact_reference_handoff_field,beta_distribution_reference,unit,deg,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_payload_schema,READY,geometry-driven pitch twist reference
propeller_archive_compact_reference_handoff_scenario,current_acceptance_blocked,curve_fit_acceptance_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,current_reference_handoff,BLOCKED,curve-fit-acceptance-not-ready
propeller_archive_compact_reference_handoff_scenario,current_acceptance_blocked,compact_reference_reviewed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,current_reference_handoff,BLOCKED,curve-fit-acceptance-not-ready
propeller_archive_compact_reference_handoff_scenario,current_acceptance_blocked,expected_preset_count,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,current_reference_handoff,BLOCKED,four current presets
propeller_archive_compact_reference_handoff_scenario,current_acceptance_blocked,expected_curve_family_count,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,current_reference_handoff,BLOCKED,six required curve families
propeller_archive_compact_reference_handoff_scenario,current_acceptance_blocked,expected_reference_field_count,12,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,current_reference_handoff,BLOCKED,twelve compact reference payload fields
