row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_rotational_damping_sweep_plan_source_inventory,l2_static_airframe_rotational_damping_sweep_plan,source_description,Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan records pitch yaw and roll body-rate calibration targets before angular drag can be changed.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,l2_static_airframe_rotational_damping_sweep_plan_inventory,Reference surface for future rotational damping A4MC L2 evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_source_inventory,l2_drone_probe_geometry,source_description,Aerodynamics4McL2DroneProbe supplies the static solid mask grid and force moment baseline geometry reused by each rotational sweep target.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_static_airframe_rotational_damping_sweep_plan_inventory,Geometry baseline for rotational damping sweep cases.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_source_inventory,l2_multi_axis_config_blend_policy,source_description,Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy blocks angular drag blending until rotational damping evidence exists.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,l2_static_airframe_rotational_damping_sweep_plan_inventory,Prior review layer that requests dynamic angular-drag evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_source_inventory,drone_physics_airframe_angular_drag,source_description,DronePhysics applies angularDragCoefficient and rotational airframe damping to pitch yaw and roll body-rate torque.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,l2_static_airframe_rotational_damping_sweep_plan_inventory,Runtime target for future angular-drag calibration.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future rotational L2 force moment runs with moving-boundary or rotational velocity-field support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_rotational_damping_sweep_plan_inventory,Upstream live CFD target for future rotational damping evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,sweep_name,positive_pitch_rate,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,fit_role,pitch_angular_drag_positive,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,body_axis_name,pitch_x,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,body_rate_x_rad_per_s,4.8,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,body_rate_y_rad_per_s,0,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,body_rate_z_rad_per_s,0,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,body_rate_magnitude_rad_per_s,4.8,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,rate_sign,1,sign,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,axis_tangential_speed_scale,1,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
a4mc_l2_static_airframe_rotational_damping_sweep_plan_case,racingQuad:positive_pitch_rate,reference_radius_m,0.190779220614,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRotationalDampingSweepPlan.java,,current_l2_static_airframe_rotational_damping_sweep_plan,Plan-only rotational damping target; angular drag calibration remains disabled until A4MC supports rotational flow evidence.
