row_type,scenario_name,preset_name,source_license_reviewed,raw_rows_imported,dataset_fit_reviewed,coverage_gap_resolved,performance_match_present,blade_count_ready,geometry_match_ready,static_coverage_ready,advance_coverage_ready,efficiency_evidence_ready,ct_cp_fit_ready,geometry_fit_ready,simulation_fit_ready,playable_reference_export_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,dominant_blocker,next_required_action,status,note
propeller_archive_fit_readiness_source,all,triage_packet,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,BLOCKED,source packet docs/data/propeller_archive_dataset_triage_packet.csv remains non-vendored
propeller_archive_fit_readiness_source,all,source_license,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,REQUIRED,review provenance and redistribution terms before importing raw rows
propeller_archive_fit_readiness_source,all,raw_row_import,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,reviewed-raw-row-import-required,import-reviewed-raw-rows-into-offline-fitting-pipeline,BLOCKED,raw archive is kept outside repository until review
propeller_archive_fit_readiness_source,all,ct_cp_candidate,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,USEFUL,archive can fit CT CP eta versus J and Reynolds after review
propeller_archive_fit_readiness_source,all,geometry_candidate,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,USEFUL,archive can fit blade c/R and beta station curves after review
propeller_archive_fit_readiness_source,all,a4mc_l2_boundary,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,BLOCKED,archive is propeller bench data not live A4MC L2 powered-source evidence
propeller_archive_fit_readiness_scenario,current_triage_blocked,all,false,false,false,false,true,3,3,4,4,4,0,0,0,0,0,0,source-license-review-required,review-source-license-before-importing-raw-rows,BLOCKED,source boundary closed; no fit may consume raw rows yet
propeller_archive_fit_readiness_scenario,reviewed_imported_with_coverage_gaps,all,true,true,true,false,true,3,3,4,4,4,3,3,2,0,0,0,preset-coverage-gaps,resolve-cinewhoop-blade-count-and-heavy-lift-geometry-coverage,BLOCKED,source boundary open but cinewhoop blade-count mismatch and heavyLift geometry gap block full fit
propeller_archive_fit_readiness_scenario,synthetic_full_reviewed_fit_target,all,true,true,true,true,true,4,4,4,4,4,4,4,4,4,0,0,ready-for-reviewed-sim-fit-packet,fit-ct-cp-j-re-and-blade-geometry-curves,READY_TARGET,documents the target state after reviewed coverage gaps are resolved
propeller_archive_fit_readiness_preset,current_triage_blocked,racingQuad,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,BLOCKED,current source boundary prevents fitting
propeller_archive_fit_readiness_preset,current_triage_blocked,apDrone,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,BLOCKED,current source boundary prevents fitting
propeller_archive_fit_readiness_preset,current_triage_blocked,cinewhoop,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,BLOCKED,current source boundary prevents fitting; blade mismatch remains visible
propeller_archive_fit_readiness_preset,current_triage_blocked,heavyLift,false,false,false,false,true,true,false,true,true,true,false,false,false,false,false,false,source-license-review-required,review-source-license-before-importing-raw-rows,BLOCKED,current source boundary prevents fitting; geometry gap remains visible
propeller_archive_fit_readiness_preset,reviewed_imported_with_coverage_gaps,racingQuad,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,playable-reference-review-required,review-compact-reference-before-playable-handoff,FIT_READY_BLOCKED_FOR_HANDOFF,sim fit row can be produced but playable reference export still needs review
propeller_archive_fit_readiness_preset,reviewed_imported_with_coverage_gaps,apDrone,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,playable-reference-review-required,review-compact-reference-before-playable-handoff,FIT_READY_BLOCKED_FOR_HANDOFF,sim fit row can be produced but playable reference export still needs review
propeller_archive_fit_readiness_preset,reviewed_imported_with_coverage_gaps,cinewhoop,true,true,true,false,true,false,true,true,true,true,false,true,false,false,false,false,blade-count-mismatch-review-required,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,matched 3-inch prop is two-blade while preset target is three-blade
propeller_archive_fit_readiness_preset,reviewed_imported_with_coverage_gaps,heavyLift,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,geometry-match-missing,add-heavy-lift-geometry-match-or-reviewed-surrogate,BLOCKED,10x5 two-blade performance anchor lacks matching geometry row
propeller_archive_fit_readiness_preset,synthetic_full_reviewed_fit_target,racingQuad,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,none,no-preset-blocker,READY_TARGET,reviewed fit and compact reference handoff are open while runtime auto-apply remains closed
propeller_archive_fit_readiness_preset,synthetic_full_reviewed_fit_target,apDrone,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,none,no-preset-blocker,READY_TARGET,reviewed fit and compact reference handoff are open while runtime auto-apply remains closed
propeller_archive_fit_readiness_preset,synthetic_full_reviewed_fit_target,cinewhoop,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,none,no-preset-blocker,READY_TARGET,coverage gap is resolved by reviewed three-blade correction or replacement data
propeller_archive_fit_readiness_preset,synthetic_full_reviewed_fit_target,heavyLift,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,none,no-preset-blocker,READY_TARGET,coverage gap is resolved by reviewed 10x5 geometry or surrogate data
propeller_archive_fit_readiness_summary,all,scenario_count,,,,,,,,,,,,,,,,,3,inspect-fit-readiness-blocker,TRIAGED,three scenarios: current blocked reviewed-gapped and synthetic target
propeller_archive_fit_readiness_summary,all,preset_scenario_row_count,,,,,,,,,,,,,,,,,12,inspect-fit-readiness-blocker,TRIAGED,four presets across three scenarios
propeller_archive_fit_readiness_summary,all,simulation_fit_ready_scenario_count,,,,,,,,,,,,,,,,,1,fit-ct-cp-j-re-and-blade-geometry-curves,TRIAGED,only synthetic full-reviewed target opens complete simulation fitting
propeller_archive_fit_readiness_summary,all,playable_reference_handoff_ready_scenario_count,,,,,,,,,,,,,,,,,1,review-compact-reference-before-playable-handoff,TRIAGED,compact reference handoff opens only in synthetic reviewed target
propeller_archive_fit_readiness_summary,all,max_ct_cp_fit_ready_count,,,,,,,,,,,,,,,,,4,fit-ct-cp-j-re-and-blade-geometry-curves,TRIAGED,synthetic target reaches all four presets
propeller_archive_fit_readiness_summary,all,max_geometry_fit_ready_count,,,,,,,,,,,,,,,,,4,fit-ct-cp-j-re-and-blade-geometry-curves,TRIAGED,synthetic target reaches all four presets
propeller_archive_fit_readiness_summary,all,max_simulation_fit_ready_count,,,,,,,,,,,,,,,,,4,fit-ct-cp-j-re-and-blade-geometry-curves,TRIAGED,synthetic target reaches all four presets
propeller_archive_fit_readiness_summary,all,runtime_coupling_allowed_scenario_count,,,,,,,,,,,,,,,,,0,inspect-fit-readiness-blocker,BLOCKED,propeller archive fit readiness never opens runtime coupling
propeller_archive_fit_readiness_summary,all,gameplay_auto_apply_allowed_scenario_count,,,,,,,,,,,,,,,,,0,inspect-fit-readiness-blocker,BLOCKED,playable receives reviewed references only; no auto-apply
propeller_archive_fit_readiness_method,all,readiness_formula,,,,,,,,,,,,,,,,,method,review-source-license-before-importing-raw-rows,TRIAGED,ct_cp_ready requires source review raw import dataset review performance match blade-count readiness static rows advance-ratio range and efficiency evidence; geometry_fit_ready requires source review plus geometry coverage; simulation_fit_ready requires both
