row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_conservation_contract_source_inventory,l2_powered_source_conservation_contract,source_description,Aerodynamics4McL2PoweredSourceConservationContract records actuator disk force momentum and kinetic power closure targets for future live A4MC powered source executors.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceConservationContract.java,,l2_powered_source_conservation_contract_inventory,Primary powered source conservation contract.
a4mc_l2_powered_source_conservation_contract_source_inventory,l2_powered_hover_wake_footprint,source_description,Aerodynamics4McL2PoweredHoverWakeFootprint supplies hover mass flow momentum flux kinetic power and wake sample targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverWakeFootprint.java,,l2_powered_source_conservation_contract_inventory,Hover wake footprint dependency.
a4mc_l2_powered_source_conservation_contract_source_inventory,l2_powered_cruise_wake_footprint,source_description,Aerodynamics4McL2PoweredCruiseWakeFootprint supplies cruise skew wake mass flow axial momentum flux kinetic power and wake sample targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,l2_powered_source_conservation_contract_inventory,Cruise wake footprint dependency.
a4mc_l2_powered_source_conservation_contract_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies hover actuator disk force and moment source geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_source_conservation_contract_inventory,Hover source geometry dependency.
a4mc_l2_powered_source_conservation_contract_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies cruise actuator disk force and moment source geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_source_conservation_contract_inventory,Cruise source geometry dependency.
a4mc_l2_powered_source_conservation_contract_source_inventory,l2_powered_source_api_surface_audit,source_description,Aerodynamics4McL2PoweredSourceApiSurfaceAudit requires public source term units timing force moment deltas and conservation residuals before coupling.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_conservation_contract_inventory,API surface dependency.
a4mc_l2_powered_source_conservation_contract_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for future powered source conservation evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_conservation_contract_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_source_conservation_contract,hover,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceConservationContract.java,,current_l2_powered_source_conservation_contract,Hover target model is self consistent but live A4MC force moment and wake residual evidence is missing.
a4mc_l2_powered_source_conservation_contract,hover,footprint_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceConservationContract.java,,current_l2_powered_source_conservation_contract,Hover target model is self consistent but live A4MC force moment and wake residual evidence is missing.
a4mc_l2_powered_source_conservation_contract,hover,source_term_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceConservationContract.java,,current_l2_powered_source_conservation_contract,Hover target model is self consistent but live A4MC force moment and wake residual evidence is missing.
