"priority","gap_id","affected_model_fields","current_symptom","missing_measurement","candidate_source","source_type","url","data_to_extract","use_for","fit_risk","next_step"
"P0","airframe_drag_neurobem","linearDragCoefficient; bodyDragCoefficients; separated-flow residuals","Current racingQuad drag is several times above published references and blocks real FPV speed envelopes.","Body-axis residual forces/torques with rotor commands or speeds; metadata target velocities are 0.25..3.25 m/s, so this is not a racing-speed envelope source.","NeuroBEM dataset and project","open dataset + paper/project","https://rpg.ifi.uzh.ch/NeuroBEM.html","400 Hz body velocity, acceleration, motor speeds, battery voltage, predicted force/torque, residual force/torque columns","Residual-aero structure and lower-speed drag/rotor-drag separation","Needs thrust reconstruction and coordinate-frame audit; not isolated wind tunnel data and not high-speed FPV","Force/torque residual packet done in docs/data/neurobem_drag_residual_packet.csv with trajectory-family and target-velocity joins; next feed torque/damping rows into model audit before syncing Java constants"
"P0","airframe_drag_ratm","linearDragCoefficient; bodyDragCoefficients; high-speed feasibility","RATM public flights exceed speeds that current drag model makes difficult for racingQuad.","High-speed speed envelope, powered acceleration, thrust-command and battery-voltage context.","Race Against the Machine drone racing dataset","open GitHub dataset","https://github.com/tii-racing/drone-racing-dataset","500 Hz synchronized CSVs, pose/velocity, commands, IMU, battery voltage, speed-rate residuals","Constrain high-speed envelope and residual drag plausibility","Aggressive powered flight; wind and thrust are coupled","Acceleration/drag feasibility packet done in docs/data/ratm_accel_drag_residual_packet.csv and thrust-vector feasibility packet done in docs/data/ratm_thrust_vector_feasibility_packet.csv; next reconstruct actual thrust magnitude/body-axis residuals before fitting CdA"
"P0","airframe_drag_blackbird","bodyDragCoefficients; motor/RPM state coupling","Need cleaner actuator/state pairing below the racing envelope, but current raw CSV probes against the official Blackbird data endpoint return HTTP 502.","Mocap acceleration, motor RPM/PWM, body velocity, attitude.","Blackbird Dataset","open GitHub dataset","https://github.com/mit-aera/Blackbird-Dataset","motor RPM/PWM, 100 Hz IMU, mocap trajectories","Lower-speed residual-aero and motor-response cross-check","Lower speed than FPV racing; vehicle not same geometry; raw endpoint currently unavailable from sample probes","Source inventory done in docs/data/blackbird_source_inventory_packet.csv and mirror probe done in docs/data/blackbird_mirror_probe_packet.csv; Academic Torrents metadata has 0 CSV/RPM/mocap matches, so next find a raw CSV mirror or retry MIT endpoint before residual fitting"
"P0","airframe_drag_wavelab","bodyDragCoefficients; system ID priors","Need system-ID style dataset with actual and commanded motor speeds.","Vicon + IMU + commanded/actual motor speed across repeated flights.","WAVELab Pelican dataset","open GitHub dataset","https://github.com/wavelab/pelican_dataset","54 Vicon/motor flights, commanded and actual motor speeds","Method cross-check for residual force and motor lag","Pelican geometry differs from 5-inch FPV","Keep as method and coefficient-prior rows"
"P0","airframe_drag_wind_tunnel","linearDragCoefficient; bodyDragCoefficients; CdA sanity","Current racingQuad CdA-equivalent is much higher than NASA/IMAV anchors.","Wind-tunnel drag/lift versus speed, attitude, and powered RPM.","NASA multicopter wind tunnel; IMAV 2022 drag paper; Manchester thesis","papers + digitized figures","https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf","Drag/q, lift, RPM, pitch/yaw angle, uncertainty","Lower-bound and uncertainty anchors for physical CdA","Digitization precision and non-FPV prop/airframe mismatch","Initial CdA guard packet done in docs/data/airframe_cda_guard_packet.csv; next redigitize key NASA figures at higher precision and preserve uncertainty rows"
"P0","forward_flow_uiuc","transverseFlowLift; axialFlowLoss; diskDragCoefficient; HighAdvanceRotorCalibration","Initial J/mu guard packet now prevents the pi-factor bug and shows current forward-flow rolloff is still much weaker than UIUC 5-inch CT/CP rolloff.","CT/CP versus J, static normalization, geometry station rows.","UIUC propeller database","open data repository","https://m-selig.ae.illinois.edu/props/propDB.html","RPM, J, CT, CP, c/R, beta, Re proxy","Primary prop nondimensional calibration and pi-factor guard","Many 5-inch files do not reach high enough J for RBS region","Initial guard packet done in docs/data/uiuc_forward_flow_mu_guard_packet.csv; next find direct 5-inch FPV wind-on-thrust-stand rows with wind speed, RPM, thrust, torque/current, and geometry"
"P0","forward_flow_mejzlik_airshaper","transverseFlowLift; axialFlowLoss; diskDragCoefficient; HighAdvanceRotorCalibration","Existing UIUC 5-inch measured data stop near J=0.57; need measured high-J axial windmilling anchors.","CT/CP/efficiency versus J in wind tunnel, plus J-to-mu conversion.","AirShaper Mejzlik propeller study","public wind-tunnel/CFD article table","https://www.airshaper.com/research/propeller-study","J=0.2..0.8 CT, CP, efficiency, wind-tunnel and model comparisons","Measured axial high-J CT/CP and windmilling boundary sanity check","Not a 5-inch FPV prop and not edgewise retreating-blade-stall; table values are article-transcribed","Initial packet done in docs/data/mejzlik_wind_tunnel_prop_packet.csv; next find FPV 5-inch wind-on-thrust-stand rows with current/RPM/torque"
"P0","forward_flow_imav2021_rmit","transverseFlowLift; axialFlowLoss; diskDragCoefficient; HighAdvanceRotorCalibration","Direct 5-inch forward-flow source found, but the public PDF exposes eta curve results as figures rather than raw numeric CSV/table rows.","Digitized eta-vs-RPM curves from Figs. 5-8 plus raw RMIT thrust/torque/current logs or numeric CT/CP curves.","IMAV 2021 RMIT 5-inch propulsive efficiency paper","paper + wind-tunnel source packet","https://www.imavs.org/papers/2021/21.pdf","5-inch 3-blade HQ V1S, wind 10/15/20 m/s, angles 30..90 deg, RPM 10000..30000, thrust/torque/power/RPM schema, eta figure curves","Direct 5-inch forward-flow J coverage and eta digitization target","PDF figures are eta only; no raw CSV; do not infer CT/CP without raw thrust/torque or numeric coefficient curves","Initial source packet done in docs/data/imav2021_forward_flow_packet.csv and figure inventory done in docs/data/imav2021_figure_inventory_packet.csv; next digitize eta panels for trend checks and search RMIT thesis/raw logs for CT/CP fits"
"P0","forward_flow_kolaei2018_inflow_angle","transverseFlowLift; axialFlowLoss; diskDragCoefficient; rotor side-force/roll-moment shape; HighAdvanceRotorCalibration","Current forward-flow model needs a same-mu inflow-angle source for CT/CP and roll-moment trend checks.","Digitized CT/CP/CMx versus mu, inflow angle, and RPM from Figs. 9-11, plus smaller-prop confirmation.","Kolaei Barcelos Bramesfeld 2018 small-scale rotor inflow-angle paper","open CC-BY paper + source packet","https://doi.org/10.1155/2018/2560370","11x7 and 18x6.1 rotors, 3000/4000/5000 rpm, inflow angles 90..-90 deg, mu<=0.30, CT/CP/CMx, uncertainty, Figs. 9-11 digitization targets","Same-definition rotorAdvanceRatio shape, low-angle CP/CT sanity, and transverse-flow roll-moment sign/scale","Rotors are larger than 5-inch FPV props; use nondimensional shape/sign, not direct coefficient scale; figure digitization still needed","Initial 74-row packet done in docs/data/kolaei2018_inflow_angle_rotor_packet.csv; next render/digitize Figs. 9-11 for CT/CP/CMx curves and compare with IMAV/UIUC 5-inch envelopes"
"P0","forward_flow_tyto","static thrust coefficient; Q/T; current and RPM scale","Exact YSIDO+Foxeer dynamic curve missing, but Tyto has similar propulsion-system tests.","Thrust, torque, voltage, current, RPM, prop/motor/ESC metadata.","Tyto Robotics database","open/partly login database","https://database.tytorobotics.com/","Static/dynamic test rows and metadata","Static k, Q/T, power/current fits; possible forward-flow leads","Exports may require login; exact prop/motor combo may be absent","Initial public 5-inch static packet done in docs/data/tyto_5in_static_prop_packet.csv; next only use Tyto for dynamic calibration if wind-speed/airspeed rows with RPM, thrust, torque/current, and voltage are found"
