row_type,reference_dataset,source_page,doi,standard_air_density_kg_m3,equation,note,speed_point,speed_m_s,source_scope,flight_filename,preset,local_source_file,mass_kg,max_total_thrust_n,level_horizontal_thrust_margin_n,force_law,linear_drag_coefficient_n_per_mps,total_drag_reference_speed_m_s,body_drag_x_n_per_mps2,body_drag_z_n_per_mps2,total_drag_x_n_per_mps2,total_drag_z_n_per_mps2,equivalent_cda_x_m2,equivalent_cda_z_m2,drag_limited_level_speed_x_m_s,drag_limited_level_speed_z_m_s,axis,speed_source_page,body_drag_coefficient_n_per_mps2,total_drag_coefficient_n_per_mps2,equivalent_cda_m2,required_drag_force_n,residual_horizontal_margin_n,drag_over_level_margin,max_allowable_drag_coefficient_n_per_mps2,max_allowable_equivalent_cda_m2,coefficient_over_max_allowable,drag_limited_level_speed_m_s,speed_over_drag_limited
apdrone_drag_speed_envelope_method,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,1.225,F_drag = c * V^2; CdA_equiv = 2*c/rho; c_limit = level_horizontal_thrust_margin / V^2.,"Level-flight full-thrust upper-bound check. GPS ground speed is used as an airspeed proxy; wind, attitude, acceleration, propwash/body coupling, and controller limits are ignored.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,,,,Mean GPS_speed in Selected Flight.csv. Betaflight GPS_speed is interpreted as cm/s.,selected_flight_gps_speed_mean,1.5879677718872616,selected_flight_csv,Selected Flight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,,,,P95 GPS_speed in Selected Flight.csv. Betaflight GPS_speed is interpreted as cm/s.,selected_flight_gps_speed_p95,4.04,selected_flight_csv,Selected Flight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,,,,Max GPS_speed in Selected Flight.csv. Betaflight GPS_speed is interpreted as cm/s.,selected_flight_gps_speed_max,5.75,selected_flight_csv,Selected Flight.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Mean of per-file mean GPS speeds across the five open-field real-flight CSVs.,open_field_mean_gps_speed_across_files,2.8686378391843625,open_field_scenario_summary,Flight Data in Open Field.rar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Mean of per-file GPS-speed maxima across the five open-field real-flight CSVs.,open_field_mean_of_file_max_gps_speed,11.072,open_field_scenario_summary,Flight Data in Open Field.rar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Fastest GPS speed found across the five open-field real-flight CSVs.,open_field_fastest_gps_speed,18.72,open_field_scenario_summary,Flight Data in Open Field.rar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_1_gps_speed_p95,13.11,open_field_flight_csv,Flight_1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file max GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_1_gps_speed_max,16.02,open_field_flight_csv,Flight_1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_2_gps_speed_p95,17.25,open_field_flight_csv,Flight_2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file max GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_2_gps_speed_max,18.72,open_field_flight_csv,Flight_2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_3_gps_speed_p95,4.04,open_field_flight_csv,Flight_3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file max GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_3_gps_speed_max,5.75,open_field_flight_csv,Flight_3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_4_gps_speed_p95,4.14,open_field_flight_csv,Flight_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file max GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_4_gps_speed_max,6.61,open_field_flight_csv,Flight_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_5_gps_speed_p95,7.869999999999999,open_field_flight_csv,Flight_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_speed_reference_point,APdrone Mendeley Data v2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,Per-file max GPS speed from an extracted APdrone open-field real-flight CSV.,open_field_flight_5_gps_speed_max,8.26,open_field_flight_csv,Flight_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project_preset_drag_model,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,"Project runtime drag model. total_drag_* and equivalent CdA are force-equivalent values at 10 m/s, not measured wind-tunnel CdA.",,,,,racingQuad,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,1.1,54.0,52.91156617499406,F=linearDragCoefficient*V+bodyAxisDrag*V^2,0.18,10.0,0.0025,0.0045,0.020499999999999997,0.0225,0.03346938775510203,0.03673469387755102,113.86869743211099,90.2638917173947,,,,,,,,,,,,,
project_preset_drag_model,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,"Project runtime drag model. total_drag_* and equivalent CdA are force-equivalent values at 10 m/s, not measured wind-tunnel CdA.",,,,,apDrone,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,0.6284,54.0,53.647214352662324,F=linearDragCoefficient*V+bodyAxisDrag*V^2,0.12,10.0,0.0018,0.0034,0.0138,0.0154,0.022530612244897958,0.02514285714285714,142.49362445418117,109.19934885830641,,,,,,,,,,,,,
apdrone_drag_speed_constraint,APdrone Mendeley Data v2,,,1.225,,"If coefficient_over_max_allowable exceeds 1, this simplified full-thrust level-flight check cannot sustain the logged GPS speed on that project axis. Coefficient and CdA are speed-point equivalents of the runtime linear-plus-quadratic drag law.",selected_flight_gps_speed_mean,1.5879677718872616,selected_flight_csv,Selected Flight.csv,racingQuad,,,,52.91156617499406,F=linearDragCoefficient*V+bodyAxisDrag*V^2,0.18,,,,,,,,,,x,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,0.0025,0.11585242640729056,0.18914681862414784,0.29213830305108857,52.61942787194297,0.005521256015837852,20.982983957810536,34.25793299234373,0.005521256015837851,113.86869743211099,0.013945604083457746
apdrone_drag_speed_constraint,APdrone Mendeley Data v2,,,1.225,,"If coefficient_over_max_allowable exceeds 1, this simplified full-thrust level-flight check cannot sustain the logged GPS speed on that project axis. Coefficient and CdA are speed-point equivalents of the runtime linear-plus-quadratic drag law.",selected_flight_gps_speed_mean,1.5879677718872616,selected_flight_csv,Selected Flight.csv,racingQuad,,,,52.91156617499406,F=linearDragCoefficient*V+bodyAxisDrag*V^2,0.18,,,,,,,,,,z,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,0.0045,0.11785242640729056,0.19241212474659683,0.29718158634019376,52.61438458865386,0.0056165713439161324,20.982983957810536,34.25793299234373,0.005616571343916132,90.2638917173947,0.01759250284553425
apdrone_drag_speed_constraint,APdrone Mendeley Data v2,,,1.225,,"If coefficient_over_max_allowable exceeds 1, this simplified full-thrust level-flight check cannot sustain the logged GPS speed on that project axis. Coefficient and CdA are speed-point equivalents of the runtime linear-plus-quadratic drag law.",selected_flight_gps_speed_mean,1.5879677718872616,selected_flight_csv,Selected Flight.csv,apDrone,,,,53.647214352662324,F=linearDragCoefficient*V+bodyAxisDrag*V^2,0.12,,,,,,,,,,x,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,0.0018,0.07736828427152703,0.12631556615759515,0.19509508758666605,53.45211926507566,0.003636630344013084,21.274717788927045,34.73423312477885,0.0036366303440130837,142.49362445418117,0.011144132082890997
