row_type,scenario_name,preset_name,blocker_count,source_license_review_blocker,raw_row_import_blocker,dataset_fit_review_blocker,blade_count_coverage_blocker,geometry_coverage_blocker,ct_cp_fit_blocker,geometry_fit_blocker,simulation_fit_blocker,playable_reference_review_blocker,runtime_coupling_leak_blocker,gameplay_auto_apply_leak_blocker,simulation_fit_ready,playable_reference_export_allowed,next_required_action,status,message
propeller_archive_fit_blocker_source,all,fit_readiness_gate,0,false,false,false,false,false,false,false,false,false,false,false,false,false,read-propeller-archive-fit-readiness-gate,TRIAGED,source packet docs/data/propeller_archive_fit_readiness_gate_packet.csv
propeller_archive_fit_blocker_source,all,source_boundary,3,true,true,true,false,false,true,true,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,current raw archive is non-vendored and not fit-ready
propeller_archive_fit_blocker_source,all,coverage_boundary,2,false,false,false,true,true,true,true,true,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,reviewed import still needs cinewhoop blade-count and heavyLift geometry coverage
propeller_archive_fit_blocker_source,all,simulation_fit_boundary,3,false,false,false,true,true,true,true,true,false,false,false,false,false,repair-simulation-fit-readiness,BLOCKED,full simulation fit requires CT/CP and geometry readiness for every preset
propeller_archive_fit_blocker_source,all,playable_handoff_boundary,1,false,false,false,false,false,false,false,false,true,false,false,true,false,review-compact-reference-before-playable-handoff,BLOCKED,fit-ready rows still need compact reference review before playable use
propeller_archive_fit_blocker_source,all,runtime_leak_boundary,0,false,false,false,false,false,false,false,false,false,false,false,false,false,fit-readiness-blockers-clear,READY,runtime coupling and gameplay auto-apply remain closed in every scenario
propeller_archive_fit_blocker_scenario,current_triage_blocked,all,8,true,true,true,true,true,true,true,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,fit-readiness-blockers-open
propeller_archive_fit_blocker_scenario,reviewed_imported_with_coverage_gaps,all,5,false,false,false,true,true,true,true,true,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,fit-readiness-blockers-open
propeller_archive_fit_blocker_scenario,synthetic_full_reviewed_fit_target,all,0,false,false,false,false,false,false,false,false,false,false,false,true,true,fit-readiness-blockers-clear,READY,fit-readiness-blockers-clear
propeller_archive_fit_blocker_preset,current_triage_blocked,racingQuad,6,true,true,true,false,false,true,true,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,preset-fit-blockers-open
propeller_archive_fit_blocker_preset,current_triage_blocked,apDrone,6,true,true,true,false,false,true,true,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,preset-fit-blockers-open
propeller_archive_fit_blocker_preset,current_triage_blocked,cinewhoop,7,true,true,true,true,false,true,true,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,preset-fit-blockers-open
propeller_archive_fit_blocker_preset,current_triage_blocked,heavyLift,7,true,true,true,false,true,true,true,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,preset-fit-blockers-open
propeller_archive_fit_blocker_preset,reviewed_imported_with_coverage_gaps,racingQuad,1,false,false,false,false,false,false,false,false,true,false,false,true,false,review-compact-reference-before-playable-handoff,BLOCKED,preset-fit-blockers-open
propeller_archive_fit_blocker_preset,reviewed_imported_with_coverage_gaps,apDrone,1,false,false,false,false,false,false,false,false,true,false,false,true,false,review-compact-reference-before-playable-handoff,BLOCKED,preset-fit-blockers-open
propeller_archive_fit_blocker_preset,reviewed_imported_with_coverage_gaps,cinewhoop,3,false,false,false,true,false,true,false,true,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,BLOCKED,preset-fit-blockers-open
