row_type,sequence_index,lane_name,blocker_kind,status,metric,value,unit,prerequisite_lane,required_evidence_artifact,acceptance_gate,affected_slot_count,promotion_blocker_incidence_cleared,full_simulation_coverage_incidence_cleared,critical_priority_slot_count,high_priority_slot_count,medium_priority_slot_count,low_priority_slot_count,current_satisfied,clears_promotion_blocker,clears_full_simulation_coverage_blocker,reviewed_payload_output_allowed,lookup_execution_input_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_source,0,source_fingerprint,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,none,source_fingerprint,archive identity available,0,0,0,0,0,0,0,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity for clearance plan
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_source,0,promotion_blocker_report,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Blocker-Report-Packet,text,none,promotion_blocker_report,blocker lane source,0,0,0,0,0,0,0,false,false,false,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,blocker lanes feed clearance plan
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_source,0,promotion_gate,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Gate-Packet,text,none,promotion_gate,gate output remains closed,0,0,0,0,0,0,0,false,false,false,false,false,false,false,complete-source-payload-and-risk-review-before-coefficient-promotion,promotion gate remains blocked
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_source,0,reviewed_coefficient_payload,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,none,reviewed_payload_gate,downstream payload gate,0,0,0,0,0,0,0,false,false,false,false,false,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,reviewed payload output is not opened
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_source,0,lookup_execution_contract,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,none,lookup_execution_contract,execution remains blocked,0,0,0,0,0,0,0,false,false,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,clearance plan cannot feed execution
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_source,0,raw_row_boundary,source,READY,raw_rows_vendored,false,boolean,none,raw_row_boundary,no raw rows in repo,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,raw archive rows remain outside repository
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_source,0,runtime_boundary,source,READY,runtime_coupling_allowed,false,boolean,none,runtime_boundary,no runtime authority,0,0,0,0,0,0,0,false,false,false,false,false,false,false,keep-runtime-and-gameplay-auto-apply-closed,no runtime or gameplay authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan,1,source_review,SOURCE_REVIEW,BLOCKED,affected_slot_count,21,count,none,source-license-review-memo-plus-archive-fingerprint,archive identity license and raw-row use approved for offline coefficient review,21,21,0,1,3,15,2,false,true,false,false,false,false,false,complete-source-review-before-payload-promotion,source review blocks every draft payload row
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan,2,coefficient_payload_review,PAYLOAD_REVIEW,BLOCKED,affected_slot_count,21,count,source_review,reviewed-ct-cp-payload-rowset,all 21 coefficient payload slots reviewed against source identity and slot keys,21,21,0,1,3,15,2,false,true,false,false,false,false,false,complete-coefficient-payload-review-before-promotion,coefficient payload review is still closed for every slot
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan,3,draft_review,DRAFT_REVIEW,BLOCKED,affected_slot_count,21,count,coefficient_payload_review,draft-risk-review-signoff,draft review queue priority items closed or explicitly rejected,21,21,0,1,3,15,2,false,true,false,false,false,false,false,review-draft-coefficient-risk-queue-before-promoting-payloads,draft review has not passed for any candidate
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan,4,coefficient_guard,COEFFICIENT_GUARD,BLOCKED,affected_slot_count,1,count,draft_review,coefficient-guard-resolution-record,finite nonnegative CT positive CP and eta consistency accepted for promoted rows,1,1,0,1,0,0,0,false,true,false,false,false,false,false,resolve-coefficient-guard-failure-before-promotion,coefficient guard rejects nonphysical CT CP eta draft rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan,5,negative_ct_risk,NEGATIVE_CT,BLOCKED,affected_slot_count,1,count,coefficient_guard,heavy-lift-high-j-negative-ct-review,negative CT row corrected rejected or isolated from payload promotion,1,1,0,1,0,0,0,false,true,false,false,false,false,false,review-negative-ct-draft-before-payload-promotion,negative CT draft must be resolved before payload promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan,6,source_distance_risk,SOURCE_DISTANCE,BLOCKED,affected_slot_count,4,count,draft_review,local-fit-support-expansion-or-revalidation,distant source support rows refit with accepted stencil or rejected from promotion,4,4,0,1,3,0,0,false,true,false,false,false,false,false,resolve-source-distance-risk-before-promotion,local fit source support is too distant for automatic promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan,7,performance_only_geometry_coverage,FULL_SIMULATION_COVERAGE,BLOCKED,affected_slot_count,7,count,source_review,heavy-lift-reviewed-geometry-or-surrogate,heavyLift performance-only rows receive reviewed geometry before full simulation evidence,7,0,7,1,1,5,0,false,false,true,false,false,false,false,resolve-geometry-coverage-before-full-simulation-payload-promotion,performance-only heavyLift rows cannot become full simulation evidence yet
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,clearance_plan_row_count,7,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,total clearance plan rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,promotion_clearance_lane_count,6,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,promotion blocker clearance lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,full_simulation_clearance_lane_count,1,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,full simulation clearance lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,current_satisfied_lane_count,0,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,no lane is currently satisfied
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,blocked_lane_count,7,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,all lanes remain blocked
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,planned_promotion_blocker_incidence_cleared,69,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,total promotion blocker incidences the plan targets
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,planned_full_simulation_coverage_incidence_cleared,7,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,total full simulation coverage incidences the plan targets
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,max_affected_slot_count,21,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,largest lane slot count
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,critical_priority_slot_count,7,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,critical priority incidence across lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,high_priority_slot_count,13,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,high priority incidence across lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_clearance_plan_summary,all,summary,BLOCKED,medium_priority_slot_count,50,count,not_applicable,summary,summary,summary,0,0,0,0,0,0,0,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,medium priority incidence across lanes
