row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_gameplay_fit_candidate_source_inventory,l2_static_airframe_gameplay_fit_candidate,source_description,"Aerodynamics4McL2StaticAirframeGameplayFitCandidate maps accepted static-airframe coefficient seeds into forward body-drag gameplay-fit candidates without changing runtime physics.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,l2_static_airframe_gameplay_fit_candidate_inventory,Reference surface for coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_gameplay_fit_candidate_source_inventory,l2_static_airframe_coefficient_acceptance_gate,source_description,"Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate keeps unavailable and test-runtime coefficients blocked before candidate adoption.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientAcceptanceGate.java,,l2_static_airframe_gameplay_fit_candidate_inventory,Reference surface for coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_gameplay_fit_candidate_source_inventory,l2_static_airframe_coefficient_seed,source_description,"Aerodynamics4McL2StaticAirframeCoefficientSeed supplies reference area air density drag sideforce lift moment and pressure-center coefficient seeds.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,l2_static_airframe_gameplay_fit_candidate_inventory,Reference surface for coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_gameplay_fit_candidate_source_inventory,drone_config_body_drag,source_description,"DroneConfig.bodyDragCoefficients supplies the current gameplay Z-axis quadratic body-drag coefficient used for target-to-current comparison.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_static_airframe_gameplay_fit_candidate_inventory,Reference surface for coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_gameplay_fit_candidate_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for future live multi-axis L2 wind-tunnel coefficient fitting.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_gameplay_fit_candidate_inventory,Reference surface for coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,coefficient_gate_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,coefficient_fit_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,live_runtime,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,forward_drag_candidate_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,full_airframe_gameplay_fit_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,current_body_drag_z_n_per_mps2,0.0045,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,target_body_drag_z_n_per_mps2,0,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,current_equivalent_cda_m2,0.007346938776,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,target_equivalent_cda_m2,0,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
a4mc_l2_static_airframe_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,target_to_current_body_drag_z_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeGameplayFitCandidate.java,,current_l2_static_airframe_gameplay_fit_candidate,Audit-only; full fit waits for multi-axis live L2.
