row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_rotor_disk_aperture_source_inventory,l2_rotor_disk_aperture,source_description,"Aerodynamics4McL2RotorDiskAperture builds rotor-disk plane axes equal-area aperture samples and static-mask open area summaries for future actuator disk fitting.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,l2_rotor_disk_aperture_source_inventory,Reference surface for the A4MC L2 rotor disk aperture packet.
a4mc_l2_rotor_disk_aperture_source_inventory,l2_drone_probe,source_description,"Aerodynamics4McL2DroneProbe supplies the bounded static-airframe solid mask used to evaluate whether rotor disk aperture samples remain open.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_rotor_disk_aperture_source_inventory,Reference surface for the A4MC L2 rotor disk aperture packet.
a4mc_l2_rotor_disk_aperture_source_inventory,drone_config_rotors,source_description,"DroneConfig and RotorSpec provide rotor center thrust-axis radius chord and preset layout data for the aperture sample plan.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_rotor_disk_aperture_source_inventory,Reference surface for the A4MC L2 rotor disk aperture packet.
a4mc_l2_rotor_disk_aperture_source_inventory,l2_bridge_request,source_description,"Aerodynamics4McL2Bridge provides the sanitized inlet vector and force-moment request envelope associated with each aperture summary.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_rotor_disk_aperture_source_inventory,Reference surface for the A4MC L2 rotor disk aperture packet.
a4mc_l2_rotor_disk_aperture_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for future powered rotor or porous actuator disk L2 force moment calibration.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_rotor_disk_aperture_source_inventory,Reference surface for the A4MC L2 rotor disk aperture packet.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,radial_sample_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,azimuth_sample_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,sample_count,256,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,open_sample_count,232,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,rotor_sample_count,64,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,open_fraction,0.90625,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
a4mc_l2_rotor_disk_aperture_preset,racingQuad,total_disk_area_m2,0.05067074791,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,current_l2_rotor_disk_aperture_packet,Current Java-generated rotor disk aperture audit before live powered-rotor A4MC fitting.
