row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_experiment_source_inventory,l2_powered_hover_experiment_plan,source_description,"Aerodynamics4McL2PoweredHoverExperimentPlan pairs static-airframe force/moment requests with hover actuator-disk source targets.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverExperimentPlan.java,,l2_powered_hover_inventory,Reference surface for the A4MC L2 powered-hover experiment plan.
a4mc_l2_powered_hover_experiment_source_inventory,l2_actuator_disk_source_map,source_description,"Aerodynamics4McL2ActuatorDiskSourceMap supplies per-rotor force and moment targets for the planned powered hover source terms.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,l2_powered_hover_inventory,Reference surface for the A4MC L2 powered-hover experiment plan.
a4mc_l2_powered_hover_experiment_source_inventory,l2_drone_probe,source_description,"Aerodynamics4McL2DroneProbe supplies the static-airframe wind-tunnel force/moment request paired with each powered-source target.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_powered_hover_inventory,Reference surface for the A4MC L2 powered-hover experiment plan.
a4mc_l2_powered_hover_experiment_source_inventory,l2_bridge,source_description,"Aerodynamics4McL2Bridge can build and run the current public L2 request contract, but does not expose powered source-term injection.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_hover_inventory,Reference surface for the A4MC L2 powered-hover experiment plan.
a4mc_l2_powered_hover_experiment_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for future powered source-term force and moment validation.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_inventory,Reference surface for the A4MC L2 powered-hover experiment plan.
a4mc_l2_powered_hover_experiment_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverExperimentPlan.java,,current_l2_powered_hover_plan,Current offline powered-hover validation target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_experiment_preset,racingQuad,source_term_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverExperimentPlan.java,,current_l2_powered_hover_plan,Current offline powered-hover validation target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_experiment_preset,racingQuad,grid_nx,26,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverExperimentPlan.java,,current_l2_powered_hover_plan,Current offline powered-hover validation target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_experiment_preset,racingQuad,grid_ny,14,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverExperimentPlan.java,,current_l2_powered_hover_plan,Current offline powered-hover validation target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_experiment_preset,racingQuad,grid_nz,40,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverExperimentPlan.java,,current_l2_powered_hover_plan,Current offline powered-hover validation target before live A4MC source-term injection is available.
